Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40.00,775,310000.00,108500.00,35%,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50.00,775,387500.00,77500.00,20%,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50.00,775,387500.00,135625.00,35%,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625,312500.00,93750.00,30%,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55.00,575,316250.00,158125.00,50%,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50.00,775,387500.00,58125.00,15%,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40.00,825,330000.00,115500.00,35%,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50.00,725,362500.00,72500.00,20%,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50.00,725,362500.00,126875.00,35%,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50.00,575,287500.00,86250.00,30%,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55.00,500,275000.00,137500.00,50%,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50.00,700,350000.00,52500.00,15%,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50.00,850,425000.00,148750.00,35%,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60.00,700,420000.00,84000.00,20%,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60.00,700,420000.00,147000.00,35%,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60.00,600,360000.00,108000.00,30%,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65.00,500,325000.00,162500.00,50%,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60.00,700,420000.00,63000.00,15%,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60.00,875,525000.00,183750.00,35%,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65.00,675,438750.00,87750.00,20%,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65.00,725,471250.00,164938.00,35%,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60.00,625,375000.00,112500.00,30%,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65.00,525,341250.00,170625.00,50%,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,80.00,700,560000.00,84000.00,15%,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60.00,900,540000.00,216000.00,40%,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,750,487500.00,121875.00,25%,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65.00,750,487500.00,195000.00,40%,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,650,390000.00,136500.00,35%,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,65.00,550,357500.00,196625.00,55%,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80.00,725,580000.00,116000.00,20%,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60.00,975,585000.00,234000.00,40%,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,825,536250.00,134063.00,25%,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65.00,825,536250.00,214500.00,40%,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,700,420000.00,147000.00,35%,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65.00,575,373750.00,205563.00,55%,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80.00,875,700000.00,140000.00,20%,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60.00,"1,025",615000.00,215250.00,35%,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65.00,875,568750.00,113750.00,20%,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65.00,825,536250.00,187688.00,35%,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60.00,725,435000.00,130500.00,30%,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65.00,775,503750.00,251875.00,50%,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80.00,775,620000.00,93000.00,15%,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65.00,975,633750.00,221813.00,35%,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70.00,925,647500.00,129500.00,20%,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65.00,800,520000.00,182000.00,35%,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65.00,750,487500.00,146250.00,30%,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75.00,750,562500.00,281250.00,50%,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80.00,725,580000.00,87000.00,15%,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55.00,925,508750.00,152625.00,30%,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,925,555000.00,83250.00,15%,Outlet
West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55.00,775,426250.00,127875.00,30%,Outlet
West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,725,398750.00,99688.00,25%,Outlet
West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65.00,725,471250.00,212063.00,45%,Outlet
West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70.00,775,542500.00,54250.00,10%,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55.00,875,481250.00,144375.00,30%,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875,525000.00,78750.00,15%,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55.00,700,385000.00,115500.00,30%,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,675,371250.00,92813.00,25%,Outlet
West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65.00,650,422500.00,190125.00,45%,Outlet
West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70.00,700,490000.00,49000.00,10%,Outlet
West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55.00,875,481250.00,144375.00,30%,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,875,525000.00,78750.00,15%,Outlet
West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55.00,725,398750.00,119625.00,30%,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,700,385000.00,96250.00,25%,Outlet
West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65.00,650,422500.00,190125.00,45%,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70.00,775,542500.00,54250.00,10%,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55.00,975,536250.00,160875.00,30%,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60.00,975,585000.00,87750.00,15%,Outlet
West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55.00,775,426250.00,127875.00,30%,Outlet
West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55.00,775,426250.00,106563.00,25%,Outlet
West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65.00,700,455000.00,204750.00,45%,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70.00,800,560000.00,56000.00,10%,Outlet
Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35.00,700,245000.00,98000.00,40%,Outlet
Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45.00,700,315000.00,78750.00,25%,Outlet
Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45.00,700,315000.00,126000.00,40%,Outlet
Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45.00,550,247500.00,86625.00,35%,Outlet
Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,50.00,500,250000.00,137500.00,55%,Outlet
Kohl's,1189833,3/12/2021,West,California,Los Angeles,Women's Apparel,45.00,700,315000.00,63000.00,20%,Outlet
Kohl's,1189833,3/13/2021,West,California,Los Angeles,Men's Street Footwear,35.00,750,262500.00,105000.00,40%,Outlet
Kohl's,1189833,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,45.00,650,292500.00,73125.00,25%,Outlet
Kohl's,1189833,3/15/2021,West,California,Los Angeles,Women's Street Footwear,45.00,675,303750.00,121500.00,40%,Outlet
Kohl's,1189833,3/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45.00,525,236250.00,82688.00,35%,Outlet
Kohl's,1189833,3/17/2021,West,California,Los Angeles,Men's Apparel,50.00,450,225000.00,123750.00,55%,Outlet
Kohl's,1189833,3/18/2021,West,California,Los Angeles,Women's Apparel,45.00,650,292500.00,58500.00,20%,Outlet
Kohl's,1189833,3/19/2021,West,California,Los Angeles,Men's Street Footwear,35.00,800,280000.00,112000.00,40%,Outlet
